기준_년분기_코드,YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수
20191.0,201903,1111051500,15568061933,764545
20191.0,201903,1111053000,61451914402,2882370
20191.0,201903,1111054000,20434470250,884064
20191.0,201903,1111055000,2735694097,157285
20191.0,201903,1111056000,8286122649,412735
20191.0,201903,1111057000,1728320581,49149
20191.0,201903,1111058000,3792669784,237557
20191.0,201903,1111060000,10903249749,739529
20191.0,201903,1111061500,422206480038,9452363
20191.0,201903,1111063000,79519001286,1993545
20191.0,201903,1111064000,27844472641,2199712
20191.0,201903,1111065000,44648580318,2401725
20191.0,201903,1111067000,81364279788,2191330
20191.0,201903,1111068000,8430066808,379278
20191.0,201903,1111069000,377339820,43470
20191.0,201903,1111070000,3638404690,339575
20191.0,201903,1111071000,22457294034,1248509
20191.0,201903,1114052000,70726980643,2821990
20191.0,201903,1114054000,157060725783,3841815
20191.0,201903,1114055000,217593640767,9227363
20191.0,201903,1114057000,26803924172,1396929
20191.0,201903,1114058000,18543736088,461543
20191.0,201903,1114059000,125689117355,3547490
20191.0,201903,1114060500,201714182465,4951264
20191.0,201903,1114061500,61045815454,1599889
20191.0,201903,1114062500,27358818417,1490708
20191.0,201903,1114063500,29189437749,1240433
20191.0,201903,1114064500,12440468962,370932
20191.0,201903,1114065000,16001653569,791914
20191.0,201903,1114066500,10257269280,597302
20191.0,201903,1114067000,34370261771,990423
20191.0,201903,1114068000,25298708740,875471
20191.0,201903,1117051000,14502551794,742542
20191.0,201903,1117052000,8760391020,399835
20191.0,201903,1117053000,38769767956,1781487
20191.0,201903,1117055500,29421968556,1461644
20191.0,201903,1117056000,215818167408,1549553
20191.0,201903,1117057000,210112270102,701862
20191.0,201903,1117058000,8620753103,496397
20191.0,201903,1117059000,12178983677,471100
20191.0,201903,1117062500,1015423652233,5075327
20191.0,201903,1117063000,27830997967,1061975
20191.0,201903,1117064000,3107081006,209876
20191.0,201903,1117065000,73901538531,3140383
20191.0,201903,1117066000,10059900517,387499
20191.0,201903,1117068500,57251441396,2071685
20191.0,201903,1117069000,6423218750,74158
20191.0,201903,1117070000,16594418153,877977
20191.0,201903,1120052000,8026715140,619364
20191.0,201903,1120053500,28246215876,1130339
20191.0,201903,1120054000,17922946290,805987
20191.0,201903,1120055000,33092771447,3128249
20191.0,201903,1120056000,32304030901,1432222
20191.0,201903,1120057000,11280627374,620597
20191.0,201903,1120058000,1237977485,41474
20191.0,201903,1120059000,5612484982,163998
20191.0,201903,1120061500,14978101396,718565
20191.0,201903,1120062000,7386824867,381893
20191.0,201903,1120064500,12932521609,941498
20191.0,201903,1120065000,18869119000,878205
20191.0,201903,1120066000,35103262541,1262348
20191.0,201903,1120067000,72528907339,8874509
20191.0,201903,1120069000,83494655404,3836609
20191.0,201903,1120072000,4214476061,308617
20191.0,201903,1120079000,24416720106,1184255
20191.0,201903,1121571000,78730001448,4852192
20191.0,201903,1121573000,32968677720,1835621
20191.0,201903,1121574000,30706040311,1103763
20191.0,201903,1121575000,29957993722,1356023
20191.0,201903,1121576000,12240984454,762667
20191.0,201903,1121577000,26549406195,1127333
20191.0,201903,1121578000,19199398348,694904
20191.0,201903,1121581000,23542060153,1111910
20191.0,201903,1121582000,26591783505,1372554
20191.0,201903,1121583000,12306742477,746753
20191.0,201903,1121584000,45383844129,2477547
20191.0,201903,1121584700,36940035334,1698626
20191.0,201903,1121585000,43212116598,1814764
20191.0,201903,1121586000,20740106601,992132
20191.0,201903,1121587000,148544963413,3444811
20191.0,201903,1123053600,65646900892,2839672
20191.0,201903,1123054500,320804264395,5850570
20191.0,201903,1123056000,25886974532,1422492
20191.0,201903,1123057000,11057186097,1005336
20191.0,201903,1123060000,19969298026,677018
20191.0,201903,1123061000,19016043438,768963
20191.0,201903,1123065000,97656705187,2569478
20191.0,201903,1123066000,60995281953,2350559
20191.0,201903,1123070500,28718650436,1212481
20191.0,201903,1123071000,23302116609,1728760
20191.0,201903,1123072000,16624407740,919611
20191.0,201903,1123073000,11826733219,598618
20191.0,201903,1123074000,22519378288,2100604
20191.0,201903,1123075000,6020644228,403328
20191.0,201903,1126052000,13908836812,671300
20191.0,201903,1126054000,9862694961,473018
20191.0,201903,1126055000,8752718926,317584
20191.0,201903,1126056500,40145578417,2118136
20191.0,201903,1126057000,29247111347,1642123
20191.0,201903,1126057500,25287671577,1474835
20191.0,201903,1126058000,52738725693,1395744
20191.0,201903,1126059000,48219014696,2363877
20191.0,201903,1126060000,7522082981,327810
20191.0,201903,1126061000,30201976953,1226130
20191.0,201903,1126062000,24913287069,1196492
20191.0,201903,1126063000,21824172276,1238924
20191.0,201903,1126065500,45123392490,1926126
20191.0,201903,1126066000,9535089716,498304
20191.0,201903,1126068000,40703560273,1462158
20191.0,201903,1126069000,21685266966,1132118
20191.0,201903,1129052500,16414850811,584436
20191.0,201903,1129055500,38782110507,2095770
20191.0,201903,1129057500,49214292992,2426510
20191.0,201903,1129058000,4128322804,196476
20191.0,201903,1129059000,4385944849,317536
20191.0,201903,1129060000,29966770061,2518239
20191.0,201903,1129061000,11498515804,674047
20191.0,201903,1129062000,7288841228,495340
20191.0,201903,1129063000,9488545218,552127
20191.0,201903,1129064000,6752753806,422779
